cityKey,listingCount,medianListingPrice,meanListingPrice,medianPricePerSqFt,medianEstimatedMonthlyPayment,medianHouseholdIncome,population,estimatedCapRate,environmentalRiskComposite,livabilityComposite,priceToIncomeRatio,monthlyAffordabilityIndexTown,town
dracut,10,584700.0,648872.3,331.2169581633764,3644.0,111539.0,32356.0,8.225526252044052,3.0,23.75,5.242112624283883,2.5507455177460665,Dracut
drury,1,59000.0,59000.0,26.292335115864528,406.0,,,9.083389830508477,2.0,1.0,,,Drury
dudley,10,432450.0,471140.0,229.96553477903302,2773.5,85179.0,11886.0,8.467883539638763,3.0,8.75,5.076955587644842,2.5593113394627727,Dudley
dunstable,3,825000.0,873300.0,208.24159476346327,5141.0,202379.0,3375.0,8.22477496785255,3.2,7.0,4.076509914566235,3.2804739674512096,Dunstable
duxbury,34,1420000.0,2265550.0,508.130081300813,9103.0,171471.0,16110.0,8.321903398926656,3.4,18.0,8.28128371561372,1.5697297594199715,Duxbury
east bridgewater,14,639000.0,650700.0,275.671875,4146.0,128679.0,14420.0,8.33620596029569,3.2,23.5,4.965845242813513,2.5864085865894837,East Bridgewater
east brookfield,1,460000.0,460000.0,243.51508734780307,2951.0,76382.0,2120.0,8.468086956521741,3.0,5.5,6.022361289309,2.156952445498701,East Brookfield
east freetown,3,629900.0,633233.3333333334,462.58116883116884,3930.0,,,8.236090870124304,3.4,,,,East Freetown
east longmeadow,29,479000.0,608194.275862069,235.55980666747072,4199.0,101540.0,16368.0,8.699874739039666,2.8,19.0,4.717352767382312,2.0151623402397396,East Longmeadow
east otis,2,827000.0,827000.0,538.940702966959,5450.0,,,8.698928345882926,2.0,3.25,,,East Otis
east taunton,3,385000.0,427666.6666666667,281.48496240601503,2966.0,,,10.025819397993311,3.5,15.0,,,East Taunton
east walpole,4,1124000.0,1081950.0,416.10890852067325,7093.0,,,8.237170604858226,3.0,28.75,,,East Walpole
eastham,27,859000.0,1239810.962962963,560.8974358974359,5088.0,72683.0,5772.0,7.81817142857143,3.4,25.25,11.818444478076028,1.1904317348008386,Eastham
easton,15,737700.0,825988.3333333334,338.0676328502415,4603.0,121458.0,25162.0,8.2368,3.0,17.0,6.07370449044114,2.1988920269389527,Easton
edgartown,1,9250000.0,9250000.0,1344.2813544542944,53613.0,89710.0,5212.0,7.6507200000000015,3.2,2.0,103.1100211793557,0.1394406829189438,Edgartown
egremont,17,979000.0,1466823.5294117648,412.16494845360825,6337.0,97500.0,1232.0,8.5430220713073,2.6,15.0,10.04102564102564,1.2821524380621745,Egremont
erving,4,264950.0,251225.0,291.6666666666667,2287.0,74550.0,1639.0,8.864533333333334,3.0,14.25,3.5539906103286385,2.7164407520769567,Erving
essex,5,1290000.0,1185800.0,446.05809128630705,7981.0,152371.0,3680.0,8.216480686695279,4.0,16.5,8.46617794724718,1.5909764858204904,Essex
everett,8,813000.0,713724.875,430.9544563415308,5066.5,79658.0,49236.0,8.226613622979782,3.4,65.33333333333333,10.206131210926712,1.3102075726175204,Everett
fairhaven,14,509000.0,589592.8571428572,395.13197946481307,3238.0,92500.0,15878.0,8.236799999999999,3.6,36.5,5.5027027027027025,2.3805847230800903,Fairhaven
fall river,100,532449.5,638877.84,236.71875,3424.5,53933.0,93764.0,8.236849507735585,3.6,45.66666666666667,9.872425045890271,1.3124300384484353,Fall River
falmouth,153,955000.0,1289841.496732026,492.2154416313504,5775.0,92862.0,32841.0,7.818925714285715,3.6,22.75,10.284077448256554,1.34,Falmouth
fitchburg,63,499900.0,497336.01587301586,229.69143693493405,3208.0,70659.0,41633.0,8.468173634726945,2.8,36.333333333333336,7.074824155450827,1.8354894014962593,Fitchburg
florida,3,240000.0,320966.6666666667,235.15384615384616,3034.5,90078.0,774.0,8.58993165467626,2.1,1.0,2.6643575567841205,2.4737188993244357,Florida
foxborough,12,664950.0,670633.25,352.1833489760977,4340.0,108559.0,18516.0,8.24784834043136,3.0,16.75,6.125240652548384,2.084466205837174,Foxborough
framingham,83,679900.0,787358.6506024096,375.86805555555554,4206.0,98179.0,72013.0,8.226060008451896,3.0,24.0,6.925106183603418,1.9452171501030273,Framingham
franklin,23,699000.0,772286.9565217391,329.1500866208804,4368.0,142788.0,33067.0,8.247797062750335,3.0,19.0,4.895369358769645,2.7241300366300365,Franklin Town
gardner,17,450000.0,440958.5294117647,238.83928571428572,2886.0,62948.0,21075.0,8.468173634726945,2.6,35.5,7.148757704772193,1.8176253176253176,Gardner
georgetown,10,699450.0,719310.0,347.76119402985074,4451.5,152014.0,8454.0,8.215106685633002,3.4,24.75,4.601220940176563,2.845744880002995,Georgetown
gill,1,999995.0,999995.0,221.13998230871294,6532.0,90000.0,1831.0,8.622283111415557,2.2,7.5,11.111055555555556,1.1481935088793631,Gill
gloucester,52,987000.0,1351309.3846153845,552.7932397329615,6235.0,87898.0,29862.0,8.214877396053176,3.7,23.166666666666664,11.228924435140732,1.1747928361400695,Gloucester
grafton,23,675000.0,653434.7391304348,307.8407224958949,4330.0,124548.0,19771.0,8.46810152284264,3.2,16.75,5.419597263705559,2.396997690531178,Grafton
granville,10,79900.0,138860.0,300.5948347107438,2747.5,89643.0,1680.0,10.022598410174883,2.5,11.0,0.8913133206162221,2.718926296633303,Granville
great barrington,72,677500.0,1165405.5416666667,337.378640776699,4674.0,82484.0,7184.0,8.54437474837475,2.4,20.0,8.213714174870278,1.4706176009128513,Great Barrington
greenfield,19,299900.0,433973.6842105263,205.69620253164558,2073.0,53961.0,17662.0,8.622336757068668,2.4,36.5,5.557717610867107,2.1691992281717316,Greenfield
groton,9,799900.0,1132177.7777777778,321.50205761316874,4985.0,189180.0,11265.0,8.224513834870542,3.2,13.5,4.228248229199704,3.1624874623871615,Groton
groveland,13,699999.0,763376.0769230769,298.31921017984894,4446.5,135521.0,6747.0,8.214247789837106,3.4,16.5,5.165243762959246,2.539844072116646,Groveland
halifax,10,352400.0,413760.0,245.40961779448622,2637.0,106851.0,7734.0,9.053955827379252,3.8,14.0,3.2980505563822518,3.3766590822904816,Halifax
hamilton,7,1195000.0,1437414.2857142857,444.0740740740741,7305.0,126331.0,7571.0,8.20086050420168,3.4,15.5,9.459277611987556,1.441147615788273,Hamilton
hampden,16,447000.0,567665.3125,219.47154471544715,3156.5,110703.0,4937.0,8.699202614379086,3.4,7.5,4.037830953090702,2.9226199904958023,Hampden
hancock,7,299000.0,726100.0,319.8,2718.0,93125.0,798.0,12.078662207357862,2.4,14.0,3.210738255033557,2.8551937699288694,Hancock
hanover,13,929000.0,1080353.7692307692,299.9172527927183,5867.0,174821.0,14800.0,8.336318622174382,3.4,20.0,5.3140068984847355,2.4831117550139195,Hanover
hanson,11,589900.0,590851.3636363636,314.74296799224055,3726.0,111897.0,10615.0,8.336494156928214,3.6,17.0,5.271812470396883,2.5026167471819645,Hanson
hardwick,8,382450.0,634137.5,262.0081967213115,2727.0,81250.0,2671.0,8.466019417475728,2.8,18.5,4.707076923076923,2.4828871776066492,Hardwick
harvard,5,749900.0,760580.0,360.52884615384613,5386.0,200688.0,6881.0,8.468714524207014,3.0,9.0,3.7366459379733716,3.105087263275158,Harvard
harwich,32,969500.0,1695278.125,458.1424406497293,5876.0,87948.0,13506.0,7.818051625005097,3.6,21.5,11.023559375994907,1.247277059223962,Harwich
haverhill,51,599000.0,600653.6666666666,311.33056133056135,3728.0,87675.0,67387.0,8.215127919911012,3.2,34.333333333333336,6.832050185343599,1.959831008583691,Haverhill
hawley,2,620000.0,620000.0,376.984126984127,3328.0,99375.0,360.0,6.96511225890814,2.0,6.0,6.238993710691824,2.4883563701923075,Hawley
heath,8,237500.0,271000.0,192.6098230628432,2449.0,93750.0,782.0,8.7415625,2.2,5.75,2.533333333333333,3.190077582686811,Heath
hingham,57,1895000.0,2195670.1754385964,571.2948760893967,11959.5,181017.0,24185.0,8.321910011644079,3.6,19.5,10.468630018175089,1.261319453154396,Hingham
hinsdale,7,589500.0,562414.2857142857,314.5644212706127,4376.5,76129.0,1825.0,8.544684016404014,1.9,10.0,7.743435484506561,1.4495791918961118,Hinsdale
holbrook,11,649000.0,647763.5454545454,346.0199004975124,4055.0,107768.0,11320.0,8.247738358169583,3.2,21.0,6.022195828075124,2.2147143444307438,Holbrook
holden,18,589900.0,584605.5,298.8045427375971,3536.0,142880.0,19885.0,8.467168950600678,2.6,16.0,4.128639417693169,3.3672699849170438,Holden
holland,8,376500.0,351337.5,345.07042253521126,2508.5,86806.0,2576.0,8.748473809745068,2.9,2.25,4.337257793240099,2.883728655903262,Holland
holliston,6,682500.0,650766.6666666666,335.1262918381417,4253.5,154684.0,14964.0,8.225698369270688,3.1,17.25,4.412221044193323,3.030523882293014,Holliston
holyoke,35,355000.0,360317.54285714286,179.43409247757074,2316.0,51892.0,37949.0,8.699795331493704,2.8,45.0,6.841131580975873,1.8671560161197465,Holyoke
hopedale,6,634500.0,1170483.3333333333,244.33575787977594,4069.5,115216.0,6024.0,8.46720547282763,2.8,36.25,5.507047632273295,2.3593398042347546,Hopedale
hopkinton,18,889000.0,942260.5555555555,360.2827978713991,5870.0,204418.0,19050.0,8.225684210526317,2.8,17.0,4.34893209012905,2.9020159000567856,Hopkinton
hubbardston,4,394900.0,397400.0,243.95234948315317,2452.0,102344.0,4339.0,8.465318997305179,2.5,9.25,3.8585554600171967,3.4782490483958672,Hubbardston
hudson,11,699999.0,807372.6363636364,327.1604938271605,4362.0,107202.0,19959.0,8.225497464996378,3.0,34.5,6.529719594783679,2.0480284273269143,Hudson
hull,46,764499.5,954721.695652174,505.1085568326948,5032.5,127112.0,10098.0,8.335950952928648,4.25,38.5,6.014377084775631,2.1048517966550753,Hull
huntington,3,81900.0,225600.0,196.6338880484115,1984.0,94871.0,2205.0,30.86446886446887,2.4,11.5,0.8632775031358371,3.9848370295698925,Huntington
ipswich,19,1094000.0,1340726.2631578948,450.202131569276,6702.0,124405.0,13820.0,8.214388489208634,3.4,15.5,8.793858767734417,1.5468641201631355,Ipswich
kingston,19,949000.0,1016115.7368421053,355.3169734151329,5993.0,115863.0,13782.0,8.335890410958905,3.6,15.5,8.190707991334593,1.6110879359252461,Kingston
lakeville,30,774450.0,786193.3,381.34625949186045,5033.5,126182.0,11732.0,8.335966835927746,3.2,12.25,6.137563202358498,2.089036786861362,Lakeville
lancaster,8,684900.0,716687.5,271.5672990063234,4430.5,130444.0,8470.0,8.467149604868744,3.2,15.0,5.250528962619975,2.4535229281871875,Lancaster
lanesborough,27,499900.0,632929.6296296297,285.48057259713704,3554.0,84419.0,3033.0,8.546257668711657,2.3,14.5,5.921652708513486,1.9794363158882011,Lanesborough
lawrence,18,599900.0,558766.5555555555,326.4417845484222,3733.0,57903.0,88297.0,8.21566501136703,3.2,52.0,10.360430374937396,1.2925930886686312,Lawrence
lee,32,577000.0,726553.125,283.8235294117647,3748.0,74222.0,5751.0,8.545340782122905,2.3,14.5,7.773975371183746,1.650257915332622,Lee
leicester,9,479900.0,851400.0,266.6111111111111,3079.0,95776.0,11076.0,8.467058056099152,2.6,22.0,5.010649849649181,2.59218360939699,Leicester
lenox,33,599900.0,1072287.878787879,333.95522388059703,3812.0,97569.0,5076.0,8.544042179261863,2.4,19.0,6.148469288401029,2.132935466946485,Lenox
leominster,31,465000.0,487187.0967741936,257.31441048034935,3046.0,81556.0,43697.0,8.468797690245413,2.8,29.666666666666668,5.701603805973809,2.2312322171153425,Leominster
leverett,6,774000.0,1276833.3333333333,245.77998639693186,5055.5,113750.0,1704.0,8.622230334667567,2.4,8.75,6.804395604395604,1.8750206046220288,Leverett
lexington,53,2399000.0,2605845.283018868,559.1549295774648,14924.0,219402.0,34085.0,8.211731092436976,3.2,28.666666666666668,10.934266779701188,1.2251072098633073,Lexington
leyden,1,599000.0,599000.0,175.86611861421022,3913.0,105357.0,650.0,8.622971619365611,2.2,4.5,5.685431437873136,2.243738819320215,Leyden
lincoln,8,1597000.0,2536087.5,549.6919846351194,10039.5,180750.0,6946.0,8.208226552556507,3.2,17.25,8.835408022130014,1.5003237213008616,Lincoln
littleton,5,740000.0,740780.0,372.10248068320453,4612.0,146250.0,10150.0,8.225836065573771,3.0,15.5,5.05982905982906,2.642562879444926,Littleton
longmeadow,24,617449.5,654624.9583333334,259.765625,4184.0,144639.0,15724.0,8.698818711608128,3.0,27.75,4.26890050401344,2.8807958891013383,Longmeadow
lowell,101,549000.0,548132.594059406,300.68163592622295,3427.0,76205.0,114799.0,8.226339622641511,3.2,52.333333333333336,7.204251689521685,1.853054177609182,Lowell
ludlow,39,409900.0,429104.8717948718,249.60523504273505,3241.0,78981.0,20846.0,8.699184466019418,3.2,24.5,5.189855788100935,2.0307775377969763,Ludlow
lunenburg,17,749000.0,763246.9411764706,284.27741466957156,4805.0,109753.0,11804.0,8.467288287137567,3.0,13.5,6.824414822373876,1.903451266042317,Lunenburg
lynn,103,579000.0,582046.3203883495,377.89878283151825,3728.0,74715.0,100905.0,8.215436874882053,3.4,45.333333333333336,7.749447902027705,1.6701314377682404,Lynn
lynnfield,15,1049000.0,1596958.3333333333,426.77824267782427,6528.0,172484.0,12964.0,8.212931506849316,3.2,19.0,6.081723522181767,2.2018484477124183,Lynnfield
malden,16,642450.0,624781.1875,399.28454369020534,4027.5,95298.0,65509.0,8.225844467283316,3.4,54.83333333333333,6.741484606182711,1.9718187461204222,Malden
manchester,11,2395000.0,2866818.1818181816,631.1098332374928,14879.0,197875.0,5368.0,8.200741463414635,3.6,12.0,12.103600758054327,1.1082454017967156,Manchester-by-the-Sea
mansfield,7,749800.0,759100.0,313.25592646347366,4678.0,131409.0,23855.0,8.2368,3.0,22.5,5.705849675440799,2.340904232578025,Mansfield
marblehead,30,1237500.0,1770256.6666666667,588.8047138047139,7365.5,165859.0,20334.0,8.206876913859674,3.8,44.666666666666664,7.461156765686517,1.876530219718055,Marblehead
marion,20,964950.0,1225901.75,481.94087403598974,6094.0,120227.0,5312.0,8.335695893668664,3.4,20.25,8.026067355918387,1.6440624658133682,Marion
marlborough,50,535000.0,653035.88,306.05024450687176,3522.5,95047.0,41398.0,8.226248226248227,2.8,42.75,5.628794175513167,2.2485687248639694,Marlborough
marshfield,23,1250000.0,1254686.956521739,406.8856220356208,7848.0,125525.0,25795.0,8.321470091880743,3.8,21.25,9.958175662218682,1.3328767414203193,Marshfield
mashpee,64,824500.0,1272821.84375,525.1923076923076,5043.5,95852.0,15234.0,7.869615690358222,3.6,16.0,8.60180277928473,1.5837546677241334,Mashpee
mattapoisett,30,848700.0,1200999.9666666666,403.9801912568306,5370.0,117308.0,6563.0,8.335929203539823,3.4,19.25,7.234800695604733,1.8204220980757293,Mattapoisett
maynard,7,525000.0,556713.8571428572,333.48581884720954,3653.0,119549.0,10663.0,8.226742857142858,3.0,45.0,4.391504738642732,2.727187699607628,Maynard
medfield,6,924950.0,1077283.3333333333,390.2090144409655,5779.5,214801.0,12923.0,8.24834129907376,3.5,28.5,4.306078649540738,3.097168151800905,Medfield
